"video_id","local_path","bytes","gcs_uri","error","candidate_video_id","candidate_channel","candidate_channel_id","manifest"
"1QYzpbOK_wg","gcs_upload_staging\archive_thumbnails\1QYzpbOK_wg.jpg","119473","gs://senior-share-staging-570862915709/naresome_thumbnails/1QYzpbOK_wg.jpg","","zG9yjf_NoqI","2ch馴れ初め物語","UCEnh7Zjp2lHtHA6ATOOcpbQ","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"1wPP8iwnMHU","gcs_upload_staging\archive_thumbnails\1wPP8iwnMHU.jpg","113297","gs://senior-share-staging-570862915709/naresome_thumbnails/1wPP8iwnMHU.jpg","","VWz7BCM2jcU","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"1zPZYD8-mis","gcs_upload_staging\archive_thumbnails\1zPZYD8-mis.jpg","128083","gs://senior-share-staging-570862915709/naresome_thumbnails/1zPZYD8-mis.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"23qZX3SipnQ","gcs_upload_staging\archive_thumbnails\23qZX3SipnQ.jpg","127081","gs://senior-share-staging-570862915709/naresome_thumbnails/23qZX3SipnQ.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"28Z0B8FQMCM","gcs_upload_staging\archive_thumbnails\28Z0B8FQMCM.jpg","124938","gs://senior-share-staging-570862915709/naresome_thumbnails/28Z0B8FQMCM.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"2layHk0wgLM","gcs_upload_staging\archive_thumbnails\2layHk0wgLM.jpg","120797","gs://senior-share-staging-570862915709/naresome_thumbnails/2layHk0wgLM.jpg","","KByL0fJB_XY","2ch馴れ初め物語","UCEnh7Zjp2lHtHA6ATOOcpbQ","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"2PjKjQBy8b8","gcs_upload_staging\archive_thumbnails\2PjKjQBy8b8.jpg","122062","gs://senior-share-staging-570862915709/naresome_thumbnails/2PjKjQBy8b8.jpg","","9YTCVIVZx0M","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"33dDcSM3AsE","gcs_upload_staging\archive_thumbnails\33dDcSM3AsE.jpg","114837","gs://senior-share-staging-570862915709/naresome_thumbnails/33dDcSM3AsE.jpg","","rWXA2IM7HkA","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"3hYm4odYRWo","gcs_upload_staging\archive_thumbnails\3hYm4odYRWo.jpg","110874","gs://senior-share-staging-570862915709/naresome_thumbnails/3hYm4odYRWo.jpg","","V4NI2a_4qpw","2ch馴れ初め物語","UCEnh7Zjp2lHtHA6ATOOcpbQ","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"4dyfejziDaA","gcs_upload_staging\archive_thumbnails\4dyfejziDaA.jpg","119024","gs://senior-share-staging-570862915709/naresome_thumbnails/4dyfejziDaA.jpg","","qFT-BPyEDMg","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"4eoYOQ14YyQ","gcs_upload_staging\archive_thumbnails\4eoYOQ14YyQ.jpg","109857","gs://senior-share-staging-570862915709/naresome_thumbnails/4eoYOQ14YyQ.jpg","","jTrt4g2Hphw","2ch恋物語ラボ","UC0EExnSTNUkC-POz4xVesKg","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"4l1n0pm_ROY","gcs_upload_staging\archive_thumbnails\4l1n0pm_ROY.jpg","118167","gs://senior-share-staging-570862915709/naresome_thumbnails/4l1n0pm_ROY.jpg","","e7ceNobJj1c","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"4ya-JSVF6UQ","gcs_upload_staging\archive_thumbnails\4ya-JSVF6UQ.jpg","116135","gs://senior-share-staging-570862915709/naresome_thumbnails/4ya-JSVF6UQ.jpg","","3Ivg7Mmyg9M","2ch運命の出会いストーリー","UC8Z30-vQUd48GbLmT6Y_G6Q","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"53CBa9pBlmM","gcs_upload_staging\archive_thumbnails\53CBa9pBlmM.jpg","121483","gs://senior-share-staging-570862915709/naresome_thumbnails/53CBa9pBlmM.jpg","","XH_7z0T_ELA","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"5DjkMOClbq4","gcs_upload_staging\archive_thumbnails\5DjkMOClbq4.jpg","120863","gs://senior-share-staging-570862915709/naresome_thumbnails/5DjkMOClbq4.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"5QK1bLgnL7c","gcs_upload_staging\archive_thumbnails\5QK1bLgnL7c.jpg","117974","gs://senior-share-staging-570862915709/naresome_thumbnails/5QK1bLgnL7c.jpg","","FIcgdx1KKRc","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"5RPr97O5pjA","gcs_upload_staging\archive_thumbnails\5RPr97O5pjA.jpg","117502","gs://senior-share-staging-570862915709/naresome_thumbnails/5RPr97O5pjA.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"5wBAo9SZ46Y","gcs_upload_staging\archive_thumbnails\5wBAo9SZ46Y.jpg","108850","gs://senior-share-staging-570862915709/naresome_thumbnails/5wBAo9SZ46Y.jpg","","SfxpJcztD0c","wail22 alfadil","UCOPTB7tQ61unkta781Hk9FA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
