video_id,channel,title,view_count,published_at,asset_count,best_type,best_local_path,best_bytes,local_csv_asset
3O_J1xfDLsg,2chなれそめストーリー2.0,【2ch馴れ初め】会社の同僚巨乳美女から頼まれて合コンしたら本人に口説かれた【ゆっくり】,25272,2025-04-03T12:00:07Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UC6zAgNw7aa7UuzEI75AZsoA\subtitles\3O_J1xfDLsg.ja-orig.vtt,232944,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\3O_J1xfDLsg.csv
l7T80cUMEeQ,2ch馴れ初めパレード,中学の時、川で溺れる少女を助けた俺→20年後、家事代行として彼女が現れた結果【2ch馴れ初め】シナリオ,25270,2025-01-04T01:00:35Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCuF5eOKpyxiZb_-grU2BWuA\subtitles\l7T80cUMEeQ.ja-orig.vtt,383418,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\l7T80cUMEeQ.csv
RUnFmM68zV8,2ch馴れ初め感動シネマ,【2ch馴れ初め】陰キャの俺が借り物競争で強引に誘ったヤンキー美女→後日、なぜかヤンキー美女にベタ惚れされた結果…,25269,2024-06-25T10:04:52Z,0,,,0,
DCPKbw_i3D0,2ch馴れ初めヒストリー,【2ch馴れ初め】同窓会で町医者一家の息子に見下される同級生 →大病院の次期院長の俺がブチギレた結果...【ゆっくり】,25255,2025-04-30T10:30:08Z,0,,,0,
4lU2VMiCIMU,2ch馴れ初め奇跡の出会い,【2ch馴れ初め】親戚に自閉症だからとたらい回しにされる3歳の少女 →機械オタクの俺が引き取った結果...【ゆっくり】,25248,2025-09-29T10:00:07Z,0,,,0,
EkiJ-s3buYA,2ch馴れ初め奇跡の出会い,【2ch馴れ初め】自称エリート上司に邪魔者扱いされるキモオタSEの俺 →特許システムを全削除し速攻退職した結果...【ゆっくり】,25247,2026-01-29T10:00:32Z,0,,,0,
yID3xJE2lRE,2ch馴れ初めツインズ,【2ch馴れ初め】取引先「部品が届かない！」俺は弁当屋だと伝えた結果…【ゆっくり】,25240,2025-01-07T10:01:03Z,0,,,0,
UDe2Al-Pyps,2ch馴れ初めヒストリー,【2ch馴れ初め】下請けと勘違いし門前払いする取引先部長 →言われた通り即契約終了した結果…【ゆっくり】,25237,2025-03-29T10:30:12Z,0,,,0,
ovwFTO1yilE,2ch馴れ初めほっこり物語,【2ch馴れ初め】居酒屋で定年退職した爺さんのグチを聞かされたら→すごい経歴の持ち主だったので役員待遇で雇った結果…【ゆっくり】,25204,2026-04-18T09:30:22Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCMeypkYE165Tbw12XPdVnxQ\subtitles\ovwFTO1yilE.ja-orig.vtt,165406,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\ovwFTO1yilE.csv
P2Tc8VEWPbE,2ch馴れ初めヒストリー,【2ch馴れ初め】寿司屋で入店拒否され泣いている貧乏母娘 →母子家庭育ちで高級店寿司職人の俺が特上寿司を振舞った結果...【ゆっくり】,25198,2024-04-12T08:30:07Z,0,,,0,
-i5Y3uC_qKA,2ch馴れ初めヒストリー,【2ch馴れ初め】団体予約をドタキャンされた老舗旅館の母娘 →建設会社社長の俺が大工３００人で泊まった結果...【ゆっくり】,25197,2025-03-22T10:30:00Z,0,,,0,
PqVfHMdetow,2ch馴れ初めキューピッド,【2ch馴れ初め】還暦祝いで予約した寿司屋に入店拒否されたボロボロの親子に廃業寸前の寿司屋を営む俺が声をかけた結果…【ゆっくり】,25161,2024-04-10T09:00:18Z,0,,,0,
JsYeUh7GR-w,2ch馴れ初め奇跡の出会い,【2ch馴れ初め】廃業寸前の俺の旅館に面接に来た双子の婆さん →超ハイスペックだったので即採用した結果...【ゆっくり】,25129,2024-04-25T10:00:25Z,0,,,0,
VBMnAMOwWVg,ほろり感動馴れ初め話,【2ch馴れ初め】親戚の家に預けられ酷い扱いを受ける脱水状態の姪と兄犬→真夏の夜に危険な状態だったので保護した結果…【ゆっくり解説】,25097,2025-07-25T09:00:48Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCmEJtwgg3U7dM2cuB6UI4OQ\subtitles\VBMnAMOwWVg.ja-orig.vtt,229901,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\VBMnAMOwWVg.csv
w7qkODjCqm8,2ch 馴れ初め ストーリーズ,【2ch馴れ初め】閑古鳥が鳴く洋菓子店を営む母娘→娘の直感で俺の洋食屋にケーキを仕入れた結果【ゆっくり】,25070,2024-07-21T03:00:39Z,0,,,0,
eMIu7ZAMfFI,2ch馴れ初めヒストリー,【2ch馴れ初め】予約時間ビッタリにいった俺をグーパンする銀行支店長 →ブチギレた俺が全株（100億）売却した結果...【ゆっくり】,25033,2025-12-21T10:30:26Z,0,,,0,
hLTj1zAQOds,2ch馴れ初めで愛を語る,【2ch馴れ初め 総集編】 大人気馴れ初め動画6選まとめ　2ch馴れ初めで愛を語る　【作業用】【ゆっくり】,25029,2024-03-09T04:00:27Z,0,,,0,
85xnR5CRvvM,2ch馴れ初めラブレター,【2ch馴れ初め】極寒の夜コインランドリーの排気口で暖を取るボロボロ姉妹 →放っておけず自宅で保護した結果...【ゆっくり】,25014,2026-03-17T10:00:00Z,0,,,0,
QluGMMd10OI,2ch馴れ初め奇跡の出会い,【2ch馴れ初め】同窓会で一人だけ席がみかん箱で見下される俺 →美人同級生が顔を真っ赤にしてブチ切れた結果...【ゆっくり】,24999,2024-12-10T10:30:17Z,0,,,0,
iDJfLMYy6Jg,2chなれそめストーリー2.0,【2ch馴れ初め】豪雨でびしょ濡れになった上司を家に連れて帰った結果【ゆっくり】,24994,2025-07-29T12:01:31Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UC6zAgNw7aa7UuzEI75AZsoA\subtitles\iDJfLMYy6Jg.ja-orig.vtt,136130,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\iDJfLMYy6Jg.csv
YZKrwPtYwG0,2ch馴れ初めヒストリー,【2ch馴れ初め】正社員にハメられ雪山に置き去りにされた派遣社員 →元自衛隊の俺が本気を出した結果...【ゆっくり】,24984,2025-01-11T10:30:12Z,0,,,0,
rSUQt5nFtvM,2ch馴れ初めほっこり物語,【2ch馴れ初め】両親を亡くし保険金も奪われ歩道橋で佇む3人姉妹 →見た目は屋台の親父、実は社長の俺が声をかけた結果…【ゆっくり】,24978,2025-09-09T09:30:26Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCMeypkYE165Tbw12XPdVnxQ\subtitles\rSUQt5nFtvM.ja-orig.vtt,215436,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\rSUQt5nFtvM.csv
sB67D3GK_3k,2ch馴れ初めヒストリー,【2ch馴れ初め】清掃員の俺に毎日元気に挨拶してくれた少女→元天才外科医の俺が事故現場で本気を出した結果...【ゆっくり】,24944,2025-12-12T10:30:41Z,0,,,0,
5FVush6wIPQ,2ch馴れ初め奇跡の出会い,【2ch馴れ初め】仕事終わりに毎晩見かけるホームレス親子 →母親の姿が見えなかったので声をかけた結果...【ゆっくり】,24942,2025-03-13T10:00:07Z,0,,,0,
Aa65SCW0LyY,2chの感動馴初め話,【2ch馴れ初め】金欠で大泣きする双子姉妹を送り届けた→ド金髪女ヤクザと大量の黒服が出てきた結果…【ゆっくり解説】,24935,2025-06-12T10:00:30Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCsH9V11uQ-wkMJNleyksCtw\subtitles\Aa65SCW0LyY.ja-orig.vtt,140432,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\Aa65SCW0LyY.csv
4s7Y2stuxkw,2ch馴れ初めヒストリー,【2ch馴れ初め】社長就任した俺を見下し退職届を出す全役員 →その場で受領し役員全員クビにした結果...【ゆっくり】,24900,2025-07-10T10:30:02Z,0,,,0,
tkwgYTPJn9Y,2ch馴れ初め奇跡の出会い,【2ch馴れ初め】話しかけても反応せず気味悪がられる双子の赤ちゃん →陰キャオタクだが実は小児科医の俺が引き取った結果...【ゆっくり】,24891,2025-06-23T10:01:33Z,0,,,0,
L6cXHwEeR2A,2ch馴れ初めヒストリー,【2ch馴れ初め】繁忙期の居酒屋に現れたボロボロヤンキー母娘 →人手不足なので接客を手伝ってもらった結果...【ゆっくり】,24885,2024-12-01T10:30:09Z,0,,,0,
O0bmj9Qw4QA,2ch馴れ初めで愛を語る,【2ch馴れ初め】両親が他界し5歳の姪を引き取った俺 → 後輩のギャル社員が助けてくれた結果,24868,2024-07-12T15:00:02Z,0,,,0,
S31c6ZgNeFc,2ch馴れ初めキューピッド,【2ch馴れ初め】母の紹介を断れず→40代の男性とお見合いした結果…【ゆっくり】,24862,2025-08-27T10:00:45Z,0,,,0,
3EYyP1ChKRM,2ch馴れ初めラブレター,【2ch馴れ初め】橋の下で野宿するかつて天才と呼ばれた幼馴染 →会社を立ち上げた俺が声を掛けた結果…【ゆっくり】,24861,2024-08-05T10:00:04Z,0,,,0,
2PcZ5Frn2o0,2chなれそめストーリー2.0,【2ch馴れ初め】居酒屋で幼馴染の告白を後押ししてその場で電話したら、俺のスマホが鳴ってしまった結果【ゆっくり解説】,24860,2025-05-15T12:00:05Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UC6zAgNw7aa7UuzEI75AZsoA\subtitles\2PcZ5Frn2o0.ja-orig.vtt,117447,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\2PcZ5Frn2o0.csv
SfReWxnRg74,2chの感動馴初め話,雪が降る極寒の夜、コンビニの駐車場で凍えるボロボロの貧乏親子 →温かいお風呂と自慢の手料理を振舞った結果…【2ch馴れ初め】【ゆっくり解説】,24860,2025-03-14T10:00:38Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCsH9V11uQ-wkMJNleyksCtw\subtitles\SfReWxnRg74.ja-orig.vtt,273098,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\SfReWxnRg74.csv
R47D1vuR_K0,2ch馴れ初めほっこり物語,【2ch馴れ初め】釣り友の汚い爺さんに気に入られ自慢の娘をもらってくれと頼まれた結果...【ゆっくり】,24838,2025-02-23T09:30:08Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCMeypkYE165Tbw12XPdVnxQ\subtitles\R47D1vuR_K0.ja-orig.vtt,344409,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\R47D1vuR_K0.csv
5UPmVAjHVCA,2ch 馴れ初め ストーリーズ,【2ch馴れ初め】俺の会社に面接に来た1歳の赤ちゃんを連れたボロボロ女性→4歳の愛娘が赤ちゃんに一目惚れし即採用した結果【ゆっくり】,24830,2025-07-18T08:00:05Z,0,,,0,
uWcefvsJMLg,2ch馴れ初めヒストリー,【2ch馴れ初め】社長令嬢に嫌われ極寒の中置き去りにされた同級生女子 →ぼっち陰キャでサバイバルプロの俺が本気を出した結果...【ゆっくり】,24791,2024-04-05T08:30:17Z,0,,,0,
